date,reason,target,price,notional,fee,campaign_full_date,start_date,age_td,policy
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,I25_XDD63_10
2006-06-14,EARLY_EXIT_DD63_10,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,I25_XDD63_10
2006-06-13,INITIAL,0.5,0.356891,0.5000948809536676,0.0002500474404768338,2002-12-12,2006-06-12,879,I50_X60_3D
2006-06-14,EARLY_EXIT_MA60_3D,0.0,0.367654,-0.5151765759353407,0.0002575882879676704,2002-12-12,2006-06-12,879,I50_X60_3D
2006-06-13,INITIAL,0.5,0.356891,0.5000948809536676,0.0002500474404768338,2002-12-12,2006-06-12,879,I50_X80_3D
2006-06-14,EARLY_EXIT_MA80_3D,0.0,0.367654,-0.5151765759353407,0.0002575882879676704,2002-12-12,2006-06-12,879,I50_X80_3D
2006-06-13,INITIAL,0.5,0.356891,0.5000948809536676,0.0002500474404768338,2002-12-12,2006-06-12,879,I50_X100_3D
2006-06-14,EARLY_EXIT_MA100_3D,0.0,0.367654,-0.5151765759353407,0.0002575882879676704,2002-12-12,2006-06-12,879,I50_X100_3D
2006-06-13,INITIAL,0.5,0.356891,0.5000948809536676,0.0002500474404768338,2002-12-12,2006-06-12,879,I50_X110NEG20
2006-06-14,EARLY_EXIT_MA110_NEG20,0.0,0.367654,-0.5151765759353407,0.0002575882879676704,2002-12-12,2006-06-12,879,I50_X110NEG20
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,L25_50_PB5_X60
2006-06-14,EARLY_EXIT_MA60_3D,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,L25_50_PB5_X60
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,L25_50_PB5_X80
2006-06-14,EARLY_EXIT_MA80_3D,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,L25_50_PB5_X80
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,L25_50_PB5_X100
2006-06-14,EARLY_EXIT_MA100_3D,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,L25_50_PB5_X100
2006-06-13,INITIAL,0.25,0.356891,0.2500474404768338,0.0001250237202384169,2002-12-12,2006-06-12,879,L25_50_PB5_X110NEG20
2006-06-14,EARLY_EXIT_MA110_NEG20,0.0,0.367654,-0.25758828796767036,0.0001287941439838352,2002-12-12,2006-06-12,879,L25_50_PB5_X110NEG20
2006-12-15,INITIAL,0.25,0.552618,0.25004776785771055,0.00012502388392885528,2002-12-12,2006-12-14,1009,HOLD25
